images,labels
ISIC_0000879,19
ISIC_9644859,17
ISIC_5981147,17
ISIC_0473257,17
ISIC_1823608,17
ISIC_0012684,19
ISIC_3441198,17
ISIC_2912335,17
ISIC_1514920,17
ISIC_0026086,15
ISIC_3277709,17
ISIC_0031797,19
ISIC_0000034,19
ISIC_0026253,19
ISIC_0071564,19
ISIC_3118576,17
ISIC_7563847,17
ISIC_0011326,19
ISIC_1027856,17
ISIC_0011664,19
ISIC_9088774,17
ISIC_0030854,19
ISIC_0069404,19
ISIC_0025104,19
ISIC_1313659,17
ISIC_0850253,17
ISIC_4735590,15
ISIC_0032172,19
ISIC_0006788,19
ISIC_0061052,15
ISIC_0834335,17
ISIC_8827399,17
ISIC_0004316,19
ISIC_0331947,17
ISIC_0027784,19
ISIC_8019918,17
ISIC_9998965,17
ISIC_0064548,19
ISIC_7478025,17
ISIC_0033522,15
ISIC_2139839,25
ISIC_0032239,19
ISIC_1965814,17
ISIC_0070638,19
ISIC_4167654,17
ISIC_2320481,15
ISIC_0007444,19
ISIC_2400889,17
ISIC_0066474,23
ISIC_0008633,19
ISIC_0071427,23
ISIC_0068346,8
ISIC_5643159,17
ISIC_0066137,8
ISIC_7273804,24
ISIC_0028952,21
ISIC_7364041,17
ISIC_3760796,17
ISIC_8096904,17
ISIC_0007666,19
ISIC_0033704,15
ISIC_0071284,19
ISIC_0056510,8
ISIC_0001997,19
ISIC_0000360,19
ISIC_6551532,17
ISIC_9327346,17
ISIC_0028849,19
ISIC_9666088,17
ISIC_1700928,17
ISIC_0066484,11
ISIC_0030413,19
ISIC_0046631,19
ISIC_1700029,17
ISIC_0006032,19
ISIC_0025935,19
ISIC_7460111,17
ISIC_9981558,17
ISIC_1534391,17
ISIC_3013569,17
ISIC_0072824,15
ISIC_8436664,17
ISIC_1258756,17
ISIC_3337775,17
ISIC_5006020,17
ISIC_0064301,23
ISIC_0062662,25
ISIC_0055107,25
ISIC_7279060,17
ISIC_7599973,17
ISIC_9256438,17
ISIC_1034492,17
ISIC_0063091,8
ISIC_0027570,19
ISIC_7682938,17
ISIC_0007022,19
ISIC_1086902,17
ISIC_3427958,17
ISIC_8163441,19
ISIC_9312767,17
ISIC_4174867,24
ISIC_0026932,19
ISIC_4984688,17
ISIC_0003337,19
ISIC_0002312,19
ISIC_8626787,17
ISIC_4212457,19
ISIC_7400392,17
ISIC_1879936,17
ISIC_0057256,19
ISIC_0066070,8
ISIC_4933604,17
ISIC_0061687,2
ISIC_3600802,17
ISIC_7738065,17
ISIC_7847667,17
ISIC_0059442,26
ISIC_2786160,17
ISIC_0005671,19
ISIC_0072444,19
ISIC_0062142,19
ISIC_0026530,21
ISIC_1216201,17
ISIC_4358017,17
ISIC_5037740,17
ISIC_5000531,17
ISIC_0001909,19
ISIC_1346209,19
ISIC_3915890,15
ISIC_8079752,17
ISIC_0010741,15
